epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,266.371,0.60995,0.54986,1.02512,0.8887,0.77539,0.85482,0.66051,0.86739,0.73968,1.18047,0.000219198,0.000219198,0.000219198
58,271.02,0.59164,0.53414,1.00743,0.87009,0.77814,0.85155,0.66331,0.83938,0.7641,1.17196,0.000210362,0.000210362,0.000210362
59,275.729,0.59487,0.53802,1.00745,0.8408,0.77346,0.84076,0.66373,0.83628,0.76687,1.16375,0.000201527,0.000201527,0.000201527
60,280.453,0.57834,0.5142,1.00595,0.83378,0.76903,0.84115,0.65917,0.84437,0.77753,1.18283,0.000192691,0.000192691,0.000192691
61,285.385,0.58772,0.5205,1.01109,0.85356,0.77285,0.8441,0.66968,0.83503,0.77113,1.16091,0.000183855,0.000183855,0.000183855
62,290.253,0.57936,0.51281,1.00748,0.82735,0.80929,0.85169,0.67066,0.82831,0.72883,1.16951,0.000175019,0.000175019,0.000175019
63,295.21,0.58551,0.51556,1.00292,0.8816,0.75757,0.85223,0.66575,0.8338,0.74595,1.17192,0.000166183,0.000166183,0.000166183
64,300.034,0.56954,0.50063,0.99286,0.89359,0.755,0.84403,0.66098,0.84296,0.83524,1.18834,0.000157348,0.000157348,0.000157348
65,304.531,0.56548,0.4936,0.99777,0.80572,0.78984,0.84208,0.66629,0.84779,0.81559,1.19354,0.000148512,0.000148512,0.000148512
66,308.706,0.57692,0.50116,1.00062,0.84663,0.78386,0.83775,0.66519,0.83473,0.81754,1.17004,0.000139676,0.000139676,0.000139676
67,313.444,0.5798,0.50144,0.99957,0.88547,0.77334,0.85369,0.67655,0.84224,0.74095,1.18609,0.000130841,0.000130841,0.000130841
68,318.512,0.55466,0.48909,0.98893,0.83616,0.78795,0.84914,0.67057,0.84054,0.76661,1.17002,0.000122005,0.000122005,0.000122005
69,323.365,0.56107,0.48736,0.99079,0.86385,0.76411,0.84472,0.66834,0.84003,0.75748,1.18735,0.000113169,0.000113169,0.000113169
70,328.239,0.56122,0.48149,0.98815,0.83199,0.7978,0.85204,0.66773,0.83997,0.7334,1.17843,0.000104333,0.000104333,0.000104333
71,338.853,0.49547,0.41906,0.93542,0.83563,0.77822,0.83046,0.65049,0.83171,0.83768,1.18033,9.54975e-05,9.54975e-05,9.54975e-05
72,342.812,0.48,0.39664,0.93015,0.86815,0.77119,0.84905,0.6655,0.82928,0.7194,1.16787,8.66618e-05,8.66618e-05,8.66618e-05
73,346.764,0.46889,0.38763,0.91947,0.80902,0.79998,0.84513,0.66299,0.83275,0.80352,1.17369,7.7826e-05,7.7826e-05,7.7826e-05
74,350.751,0.4626,0.38311,0.91706,0.8484,0.79482,0.85196,0.67194,0.83798,0.77261,1.17691,6.89903e-05,6.89903e-05,6.89903e-05
75,354.77,0.45642,0.36437,0.90556,0.85287,0.77726,0.84082,0.66516,0.82967,0.81806,1.17387,6.01545e-05,6.01545e-05,6.01545e-05
76,359.082,0.45055,0.35953,0.91138,0.8666,0.77657,0.84104,0.66283,0.82712,0.77275,1.18213,5.13187e-05,5.13187e-05,5.13187e-05
77,363.506,0.45398,0.36131,0.91599,0.84369,0.78981,0.84482,0.66486,0.82524,0.7727,1.18321,4.2483e-05,4.2483e-05,4.2483e-05
78,367.802,0.44984,0.35019,0.91697,0.86383,0.78824,0.84976,0.67216,0.82618,0.74702,1.17685,3.36472e-05,3.36472e-05,3.36472e-05
79,371.921,0.44944,0.36345,0.91681,0.86852,0.78371,0.85141,0.67654,0.82212,0.75056,1.17251,2.48115e-05,2.48115e-05,2.48115e-05
80,376.713,0.43556,0.34503,0.90311,0.86561,0.77959,0.84846,0.67396,0.82355,0.76919,1.17239,1.59757e-05,1.59757e-05,1.59757e-05
