epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1077.93,0.58669,0.46362,1.08313,0.81182,0.82142,0.86227,0.70337,0.80702,0.68494,1.28656,0.000219198,0.000219198,0.000219198
72,1092.63,0.57414,0.44414,1.06652,0.84294,0.79117,0.8702,0.71047,0.8122,0.67265,1.2893,0.000212129,0.000212129,0.000212129
73,1107.49,0.57225,0.4434,1.0805,0.85162,0.80064,0.8791,0.72315,0.79421,0.67451,1.27793,0.000205061,0.000205061,0.000205061
74,1122.48,0.58444,0.44338,1.08409,0.84879,0.81116,0.884,0.72664,0.80699,0.65208,1.30282,0.000197992,0.000197992,0.000197992
75,1137.37,0.57569,0.43722,1.0691,0.85863,0.81208,0.88813,0.73073,0.78708,0.64306,1.26635,0.000190924,0.000190924,0.000190924
76,1152.1,0.56205,0.42602,1.07129,0.83933,0.80678,0.88125,0.72537,0.79582,0.66404,1.27212,0.000183855,0.000183855,0.000183855
77,1166.63,0.56301,0.43647,1.07073,0.83474,0.79785,0.87115,0.71593,0.8117,0.72126,1.29458,0.000176786,0.000176786,0.000176786
78,1181.38,0.54999,0.42572,1.05224,0.82112,0.79139,0.85913,0.71411,0.79516,0.70853,1.29161,0.000169718,0.000169718,0.000169718
79,1196.14,0.55408,0.42761,1.05818,0.86579,0.7778,0.8677,0.7167,0.78468,0.69472,1.26071,0.000162649,0.000162649,0.000162649
80,1210.76,0.54828,0.42222,1.05744,0.82892,0.80098,0.86455,0.70868,0.80974,0.70899,1.28319,0.000155581,0.000155581,0.000155581
81,1225.46,0.56543,0.42869,1.07131,0.82185,0.80991,0.86794,0.72116,0.78282,0.68355,1.27398,0.000148512,0.000148512,0.000148512
82,1240.05,0.53909,0.41402,1.04897,0.85367,0.80301,0.87827,0.72935,0.78786,0.69595,1.2753,0.000141443,0.000141443,0.000141443
83,1254.81,0.54077,0.41504,1.05517,0.82483,0.78005,0.86473,0.71098,0.79614,0.72807,1.27985,0.000134375,0.000134375,0.000134375
84,1269.44,0.52835,0.39171,1.04869,0.83788,0.81504,0.88209,0.72776,0.79704,0.67631,1.27669,0.000127306,0.000127306,0.000127306
85,1284.06,0.53512,0.39855,1.04882,0.87524,0.80657,0.885,0.73157,0.79522,0.63512,1.27579,0.000120238,0.000120238,0.000120238
86,1299.1,0.52177,0.38868,1.04237,0.84516,0.78473,0.86851,0.71754,0.79426,0.71782,1.27872,0.000113169,0.000113169,0.000113169
87,1314.45,0.5129,0.38161,1.04539,0.81866,0.81865,0.87747,0.72444,0.78702,0.66695,1.28097,0.0001061,0.0001061,0.0001061
88,1331.13,0.52734,0.38915,1.05147,0.86413,0.81371,0.88496,0.73032,0.7973,0.65527,1.28326,9.90318e-05,9.90318e-05,9.90318e-05
89,1345.6,0.50539,0.36974,1.02956,0.83673,0.82144,0.88605,0.72902,0.80373,0.67014,1.30554,9.19632e-05,9.19632e-05,9.19632e-05
90,1362.36,0.49852,0.36387,1.01623,0.83,0.83496,0.88304,0.72742,0.79656,0.65299,1.2881,8.48946e-05,8.48946e-05,8.48946e-05
91,1384.67,0.4296,0.28569,0.96188,0.83841,0.81857,0.87953,0.72874,0.78376,0.6457,1.29409,7.7826e-05,7.7826e-05,7.7826e-05
92,1400.01,0.42275,0.26901,0.95214,0.858,0.8052,0.88473,0.73085,0.78243,0.63462,1.29168,7.07574e-05,7.07574e-05,7.07574e-05
93,1415.71,0.41251,0.28378,0.93783,0.85285,0.81032,0.88161,0.72802,0.79339,0.64288,1.29885,6.36888e-05,6.36888e-05,6.36888e-05
94,1430.96,0.40193,0.25419,0.93303,0.80956,0.83659,0.87499,0.72572,0.80448,0.65387,1.29879,5.66202e-05,5.66202e-05,5.66202e-05
95,1447.4,0.40597,0.2526,0.9401,0.81216,0.85426,0.88377,0.73193,0.78916,0.64009,1.2893,4.95516e-05,4.95516e-05,4.95516e-05
96,1463.72,0.39648,0.25417,0.94357,0.84132,0.81519,0.87989,0.72686,0.79486,0.6673,1.30051,4.2483e-05,4.2483e-05,4.2483e-05
97,1479.92,0.3946,0.26726,0.93795,0.84807,0.81093,0.87996,0.7289,0.79627,0.65759,1.30568,3.54144e-05,3.54144e-05,3.54144e-05
98,1496.09,0.38363,0.2357,0.92833,0.88076,0.80218,0.88358,0.73348,0.78871,0.64162,1.29786,2.83458e-05,2.83458e-05,2.83458e-05
99,1512.38,0.38731,0.24345,0.93323,0.84542,0.82857,0.88659,0.73306,0.79769,0.64016,1.30693,2.12772e-05,2.12772e-05,2.12772e-05
100,1528.42,0.3766,0.24024,0.92056,0.8341,0.82553,0.88675,0.73445,0.79238,0.64133,1.3029,1.42086e-05,1.42086e-05,1.42086e-05
